model,horizon,mae,rmse,smape,direction_accuracy
patchtst,3,0.10798672772943974,0.13637819078406307,0.2583644212195168,0.4166666666666667
patchtst,6,0.14994134513350824,0.18525644774813319,0.39081027984348654,0.3958333333333333
patchtst,12,0.17404164707598588,0.21004464242760973,0.4742370142981854,0.4270833333333333
sarima,3,0.16461291629821062,0.19540249097297166,0.39369517417305966,0.20833333333333334
sarima,6,0.2053097221069038,0.24715859628781314,0.4964871894404807,0.22916666666666666
sarima,12,0.2545524330344051,0.3042100027920357,0.6248440063013488,0.2604166666666667
seasonal_naive,3,0.2069778355459372,0.25368841781500046,0.5221347122843745,0.3333333333333333
seasonal_naive,6,0.2508441259463628,0.3122324175427798,0.7544599788295635,0.375
seasonal_naive,12,0.23004192765802145,0.30651507337185574,0.7554535656095817,0.375
