model,mae,rmse,smape,direction_accuracy
moving_average_3,0.053055726923048496,0.07082531292513028,0.11126210592873019,0.46875
default_patchtst,0.06398999566833179,0.08487707177452877,0.13248657415537987,0.3333333333333333
last_value,0.06451758711288373,0.0836232137371806,0.13127583551715047,0.3125
tuned_patchtst,0.1743150814436376,0.19936971528198888,0.4582470911315451,0.4791666666666667
moving_average_6,0.17569007320950428,0.18826590712304536,0.41750987297359093,0.46875
sarima,0.1898496993817389,0.22998523655290004,0.3333635455307244,0.2604166666666667
seasonal_naive,0.23004192765802145,0.30651507337185574,0.7554535656095817,0.375
linear_trend,0.23169130721362308,0.28348295452937033,0.6793585078136845,0.4583333333333333
