model,horizon,mae,rmse,smape,direction_accuracy
last_value,1,0.06871362775564194,0.09156980586666603,0.1416080535776204,0.375
last_value,2,0.06277449615299702,0.0796281480636401,0.12923653430915322,0.3125
last_value,3,0.07602024575074513,0.09566179314266253,0.15523931999287033,0.2916666666666667
last_value,4,0.06511090137064457,0.0853950219701422,0.13324587987141076,0.34375
last_value,5,0.06407471895217895,0.08296101456994338,0.13096817642680295,0.325
last_value,6,0.069096473356088,0.08857052586803005,0.13963752804963184,0.2708333333333333
last_value,7,0.06652495797191348,0.08594552704746608,0.13463769385432395,0.30357142857142855
last_value,8,0.0652466188184917,0.08478018972836811,0.13185891092207624,0.3125
last_value,9,0.06405156312717332,0.08292409747260678,0.13018234655578015,0.3194444444444444
last_value,10,0.06471899338066578,0.08321590184747873,0.13042987829784583,0.3125
last_value,11,0.06353972141038287,0.08180905383987286,0.1284790379873124,0.3068181818181818
last_value,12,0.06451758711288373,0.0836232137371806,0.13127583551715047,0.3125
moving_average_3,1,0.06550699472427368,0.07206601259192218,0.1412353276653528,0.375
moving_average_3,2,0.04559070058166981,0.056076464905047856,0.09871040950705678,0.5
moving_average_3,3,0.05918680876493454,0.07316286181619229,0.12450187470736435,0.5
moving_average_3,4,0.05327460542321205,0.0670055322522231,0.111933921480496,0.40625
moving_average_3,5,0.0544230118393898,0.06732597114412196,0.1148980271462825,0.4
moving_average_3,6,0.05812851836284002,0.07655942515495967,0.1210779076421461,0.3958333333333333
moving_average_3,7,0.053632982075214386,0.07193774849891851,0.11169382674383159,0.4642857142857143
moving_average_3,8,0.0534255295060575,0.07148556319486592,0.11142185278588863,0.4375
moving_average_3,9,0.052887155363957085,0.07081820736884557,0.11133321477441648,0.4305555555555556
moving_average_3,10,0.05311459936201572,0.07104282750359356,0.11076087481188976,0.4375
moving_average_3,11,0.051380141553553665,0.0687913750076101,0.10782888889011746,0.4431818181818182
moving_average_3,12,0.053055726923048496,0.07082531292513028,0.11126210592873019,0.46875
moving_average_6,1,0.1688961423933506,0.1815212287341635,0.4060747174938036,0.375
moving_average_6,2,0.15582114271819592,0.16618682246005614,0.37925877542974384,0.5
moving_average_6,3,0.16850918407241502,0.18196041451984374,0.40402150447466295,0.4583333333333333
moving_average_6,4,0.1682129241526127,0.18070853812234333,0.4032842254607756,0.4375
moving_average_6,5,0.17035819515585898,0.18268412621627425,0.40780154296124327,0.45
moving_average_6,6,0.1788331245382627,0.19223444728651845,0.42415231780872514,0.4583333333333333
moving_average_6,7,0.17748309299349785,0.1899549897509922,0.42159891346163963,0.44642857142857145
moving_average_6,8,0.17737342836335301,0.18943778219016477,0.42203365432318174,0.453125
moving_average_6,9,0.1765296740664376,0.18861760003158196,0.42002647326242964,0.4583333333333333
moving_average_6,10,0.1774368468672037,0.18924350335951073,0.4221272141682796,0.45
moving_average_6,11,0.17384202101013876,0.18597508377460392,0.41425959294127246,0.4772727272727273
moving_average_6,12,0.17569007320950428,0.18826590712304536,0.41750987297359093,0.46875
linear_trend,1,0.17218703217804432,0.19025902999060182,0.43454535472873734,0.375
linear_trend,2,0.1582775115966797,0.1752588617688829,0.4145660789042843,0.5625
linear_trend,3,0.16310839541256428,0.18534537077315447,0.4350666162514658,0.5416666666666666
linear_trend,4,0.17288289708085358,0.1951538988139796,0.46810891212376954,0.5
linear_trend,5,0.1850528446957469,0.21279023148232645,0.5066549018437254,0.475
linear_trend,6,0.19908011029474437,0.23489683010378828,0.5466242845806393,0.5
linear_trend,7,0.2006567413918674,0.24012232276065004,0.5655569209342984,0.5
linear_trend,8,0.20891862057032995,0.2504355116739177,0.5985480965999721,0.5
linear_trend,9,0.21677486699384949,0.2623034434788646,0.6273642535744565,0.4722222222222222
linear_trend,10,0.22436006718780846,0.2739368834743927,0.6475465749599902,0.45
