candidate_id,experiment_id,stage,seed,context_length,horizon,patch_len,stride,d_model,n_heads,num_layers,dropout,batch_size,epochs,learning_rate,weight_decay,validation_mae,validation_rmse,validation_smape,validation_direction_accuracy,best_epoch,train_seconds,status
P033,P033-S11,confirmation,11,12,12,3,1,64,4,2,0.1,32,100,0.0003,0.0,0.1664273961020323,0.25621607514154554,0.6662124004052375,0.5625,39,6.857874000008451,ok
P033,P033-S22,confirmation,22,12,12,3,1,64,4,2,0.1,32,100,0.0003,0.0,0.17070425600589564,0.26447611815414823,0.641506503358337,0.53125,22,4.50222650001524,ok
P033,P033-S33,confirmation,33,12,12,3,1,64,4,2,0.1,32,100,0.0003,0.0,0.17171321091397354,0.2629154483394262,0.6848287080054553,0.53125,19,4.148864299990237,ok
P033,P033-S44,confirmation,44,12,12,3,1,64,4,2,0.1,32,100,0.0003,0.0,0.17418160937571278,0.2670137353828411,0.7296718983935199,0.53125,15,3.5041782000043895,ok
P033,P033-S55,confirmation,55,12,12,3,1,64,4,2,0.1,32,100,0.0003,0.0,0.1766449268713283,0.271863367338975,0.6525169754411336,0.53125,11,2.927857699978631,ok
P035,P035-S11,confirmation,11,12,12,3,1,64,4,2,0.1,32,100,0.001,0.001,0.17097326761965329,0.2680574378094765,0.6323577394142142,0.5416666666666666,10,2.7892339999962132,ok
P035,P035-S22,confirmation,22,12,12,3,1,64,4,2,0.1,32,100,0.001,0.001,0.17307777283713222,0.26251362051026655,0.7178276651746321,0.5,15,3.557761100004427,ok
P035,P035-S33,confirmation,33,12,12,3,1,64,4,2,0.1,32,100,0.001,0.001,0.17039931086280072,0.2590375571361058,0.7148169528239828,0.53125,13,3.334983499982627,ok
P035,P035-S44,confirmation,44,12,12,3,1,64,4,2,0.1,32,100,0.001,0.001,0.17530230892589316,0.26389603840609865,0.7218466197698886,0.5104166666666666,9,2.8087253000121564,ok
P035,P035-S55,confirmation,55,12,12,3,1,64,4,2,0.1,32,100,0.001,0.001,0.17242480888186643,0.25797305173251267,0.7423529398436158,0.53125,15,3.4807713000045624,ok
P002,P002-S11,confirmation,11,12,12,3,1,64,4,2,0.1,64,100,0.001,0.0001,0.16836719471029937,0.25389591904879893,0.7091124390281918,0.59375,15,2.369865899992874,ok
P002,P002-S22,confirmation,22,12,12,3,1,64,4,2,0.1,64,100,0.001,0.0001,0.1704499248492842,0.2644909135557375,0.6589719829003876,0.5625,17,2.6294674999953713,ok
P002,P002-S33,confirmation,33,12,12,3,1,64,4,2,0.1,64,100,0.001,0.0001,0.17299049720168114,0.2629097287949263,0.677520873187181,0.5208333333333334,18,2.7748626000247896,ok
