resource_id,title,subject,institution,learning_product,level,duration_raw,hours_estimate,skills_raw,skills_list,skill_count,rating,reviews
coursera_0246,How to Get Into Robotics,Computer Science,University of Leeds,Course,beginner,1 - 4 Weeks,20,"Automation, Artificial Intelligence, Manufacturing and Production, Engineering, Emerging Technologies, Data Ethics, Computer Science, Computer Vision, Computer Programming","['Automation', 'Artificial Intelligence', 'Manufacturing and Production', 'Engineering', 'Emerging Technologies', 'Data Ethics', 'Computer Science', 'Computer Vision', 'Computer Programming']",9,4.6,39
coursera_0247,Responsive Website Development and Design,Computer Science,University of London,Specialization,beginner,3 - 6 Months,100,"Responsive Web Design, HTML and CSS, Web Design, Human Computer Interaction, Interaction Design, jQuery, Web Design and Development, Bootstrap (Front-End Framework), Hypertext Markup Language (HTML), User Experience Design, User Accounts, MongoDB, Wireframing, Web Applications, Interactive Data Visualization, JavaScript Frameworks, Technical Communication, Web Development Tools, Command-Line Interface, User Interface (UI)","['Responsive Web Design', 'HTML and CSS', 'Web Design', 'Human Computer Interaction', 'Interaction Design', 'jQuery', 'Web Design and Development', 'Bootstrap (Front-End Framework)', 'Hypertext Markup Language (HTML)', 'User Experience Design', 'User Accounts', 'MongoDB', 'Wireframing', 'Web Applications', 'Interactive Data Visualization', 'JavaScript Frameworks', 'Technical Communication', 'Web Development Tools', 'Command-Line Interface', 'User Interface (UI)']",20,4.5,7600
coursera_0248,Hypothesis-Driven Development,Computer Science,University of Virginia,Course,mixed,1 - 4 Weeks,20,"Usability Testing, Continuous Delivery, Product Testing, Agile Product Development, DevOps, Agile Methodology, User Research, User Story, Prototyping, Product Development, Lean Methodologies, Innovation","['Usability Testing', 'Continuous Delivery', 'Product Testing', 'Agile Product Development', 'DevOps', 'Agile Methodology', 'User Research', 'User Story', 'Prototyping', 'Product Development', 'Lean Methodologies', 'Innovation']",12,4.7,996
coursera_0249,Getting Started with Go,Computer Science,"University of California, Irvine",Course,intermediate,1 - 3 Months,40,"Go (Programming Language), JSON, Data Import/Export, Development Environment, Data Structures, Remote Access Systems, File Management, Program Development","['Go (Programming Language)', 'JSON', 'Data Import/Export', 'Development Environment', 'Data Structures', 'Remote Access Systems', 'File Management', 'Program Development']",8,4.6,2400
coursera_0250,Object-Oriented Design,Computer Science,University of Alberta,Course,intermediate,1 - 4 Weeks,20,"Object Oriented Design, Unified Modeling Language, Software Design, Object Oriented Programming (OOP), Java, Maintainability, Software Architecture, Programming Principles, Android Development, Technical Design, Conceptual Design","['Object Oriented Design', 'Unified Modeling Language', 'Software Design', 'Object Oriented Programming (OOP)', 'Java', 'Maintainability', 'Software Architecture', 'Programming Principles', 'Android Development', 'Technical Design', 'Conceptual Design']",11,4.7,2300
coursera_0251,Requirements Engineering: Secure Software  Specifications,Computer Science,University of Colorado System,Specialization,beginner,3 - 6 Months,100,"Requirements Elicitation, Software Design Documents, Requirements Analysis, Security Requirements Analysis, Mockups, Interviewing Skills, User Requirements Documents, Storyboarding, Functional Requirement, Goal Setting, Software Documentation, Agile Methodology, Business Requirements, Unified Modeling Language, Risk Management Framework, System Requirements, Meeting Facilitation, Prototyping, Software Development Life Cycle, Technical Documentation","['Requirements Elicitation', 'Software Design Documents', 'Requirements Analysis', 'Security Requirements Analysis', 'Mockups', 'Interviewing Skills', 'User Requirements Documents', 'Storyboarding', 'Functional Requirement', 'Goal Setting', 'Software Documentation', 'Agile Methodology', 'Business Requirements', 'Unified Modeling Language', 'Risk Management Framework', 'System Requirements', 'Meeting Facilitation', 'Prototyping', 'Software Development Life Cycle', 'Technical Documentation']",20,4.5,835
coursera_0252,Introduction to Vertex AI Studio,Computer Science,Google Cloud,Course,beginner,1 - 4 Weeks,20,"Generative AI, Prototyping, Performance Tuning, Machine Learning Methods","['Generative AI', 'Prototyping', 'Performance Tuning', 'Machine Learning Methods']",4,4.7,205
coursera_0253,"Programming Languages, Part A",Computer Science,University of Washington,Course,intermediate,1 - 3 Months,40,"Software Installation, Programming Principles, Other Programming Languages, Functional Design, Computer Programming, Ruby (Programming Language), Theoretical Computer Science, Software Design","['Software Installation', 'Programming Principles', 'Other Programming Languages', 'Functional Design', 'Computer Programming', 'Ruby (Programming Language)', 'Theoretical Computer Science', 'Software Design']",8,4.9,1900
coursera_0254,Cybersecurity Foundations,Computer Science,Infosec,Specialization,beginner,1 - 3 Months,40,"Penetration Testing, Cyber Security Policies, Linux Commands, Cyber Security Assessment, Command-Line Interface, Cybersecurity, Cloud Computing, Linux, Risk Management Framework, Network Monitoring, Security Management, Operating Systems, Cyber Risk, Cloud Services, Cloud Platforms, General Networking, Windows PowerShell, Cyber Governance, Unix Commands, Cyber Security Strategy","['Penetration Testing', 'Cyber Security Policies', 'Linux Commands', 'Cyber Security Assessment', 'Command-Line Interface', 'Cybersecurity', 'Cloud Computing', 'Linux', 'Risk Management Framework', 'Network Monitoring', 'Security Management', 'Operating Systems', 'Cyber Risk', 'Cloud Services', 'Cloud Platforms', 'General Networking', 'Windows PowerShell', 'Cyber Governance', 'Unix Commands', 'Cyber Security Strategy']",20,4.7,593
coursera_0255,"Data Engineering, Big Data and ML on Google Cloud en Español",Computer Science,Google Cloud,Specialization,intermediate,3 - 6 Months,100,"Dataflow, Google Cloud Platform, Looker (Software), Data Pipelines, Real Time Data, Data Lakes, Big Data, Data Warehousing, Dashboard, Cloud Infrastructure, Data Infrastructure, Data Visualization, Cloud Storage, Extract, Transform, Load, Data Architecture, Data Processing, Apache Airflow, Unstructured Data, MLOps (Machine Learning Operations), Tensorflow","['Dataflow', 'Google Cloud Platform', 'Looker (Software)', 'Data Pipelines', 'Real Time Data', 'Data Lakes', 'Big Data', 'Data Warehousing', 'Dashboard', 'Cloud Infrastructure', 'Data Infrastructure', 'Data Visualization', 'Cloud Storage', 'Extract', 'Transform', 'Load', 'Data Architecture', 'Data Processing', 'Apache Airflow', 'Unstructured Data', 'MLOps (Machine Learning Operations)', 'Tensorflow']",22,4.7,784
